,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
500,mandalgovi,45.76,106.27,60.85,78,0,10.58
501,delemont,47.36,7.34,64.22,88,45,6.93
502,chauk,20.88,94.82,83.73,75,100,8.72
503,kambove,-10.88,26.6,54.41,62,33,8.12
504,tutoia,-2.76,-42.27,78.21,78,0,7.45
505,touros,-5.2,-35.46,73.4,88,75,6.93
506,babati,-4.22,35.75,56.62,84,11,2.01
507,graaff-reinet,-32.25,24.53,46.0,82,82,4.0
508,noumea,-22.28,166.46,73.72,73,2,3.36
509,pilot butte,50.47,-104.42,75.4,44,20,14.99
510,atar,20.52,-13.05,93.36,30,0,13.67
511,valenca do piaui,-6.41,-41.75,75.56,34,6,6.11
512,natchez,31.56,-91.4,82.4,78,40,11.41
513,denpasar,-8.65,115.22,78.8,100,20,9.17
514,loikaw,19.67,97.21,69.12,93,100,1.52
515,madaoua,14.07,5.96,88.88,49,1,8.39
516,malindi,-3.22,40.12,76.62,78,59,18.77
517,along,28.17,94.77,72.59,89,39,1.21
518,bonito,-21.12,-56.48,70.38,53,84,1.83
519,saint anthony,45.02,-93.22,85.5,58,20,9.17
520,high prairie,55.43,-116.49,73.78,53,0,6.82
521,high rock,26.62,-78.28,86.0,70,40,6.93
522,raudeberg,61.99,5.14,57.07,93,100,17.22
523,kununurra,-15.77,128.73,62.6,36,10,8.05
524,mogadishu,2.04,45.34,76.86,84,13,19.13
525,mecca,21.43,39.83,88.36,47,50,10.22
526,viedma,-40.81,-63.0,48.99,76,83,11.01
527,tomatlan,19.93,-105.25,84.92,69,80,6.96
528,lyuban,52.8,28.0,63.91,93,100,7.67
529,bonavista,48.65,-53.11,57.69,96,100,18.19
530,hirara,24.8,125.28,83.14,83,75,9.17
531,russell,32.35,-85.2,84.58,55,1,4.7
532,burns lake,54.23,-125.75,80.2,32,0,6.69
533,hakkari,37.58,44.17,63.12,29,0,3.4
534,marzuq,14.4,46.47,77.59,61,94,3.76
535,villaviciosa,43.48,-5.44,64.06,93,20,4.7
536,padang,-0.95,100.35,73.4,100,40,4.76
537,matam,15.62,-13.33,87.8,74,42,2.24
538,la seyne-sur-mer,43.1,5.88,76.03,57,0,5.99
539,palu,-0.89,119.87,73.87,79,63,3.06
540,talmenka,53.82,83.57,57.2,93,0,2.24
541,tamworth,52.63,-1.7,60.66,77,20,6.93
542,perth,-31.93,115.83,59.02,82,0,9.17
543,yabrud,33.97,36.66,80.6,54,0,4.7
544,paraiso,9.84,-83.87,71.76,83,75,8.05
545,veraval,20.9,70.37,83.07,82,1,11.21
546,novyy urgal,51.07,132.56,66.52,94,99,0.54
547,tongren,27.72,109.19,72.82,91,100,2.21
